Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Piscirickettsiaceae bacterium],62.0,62.0,75%,3e-09,36.08,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NQZ53219.1?report=genbank&log$=prottop&blast_rank=92&RID=UWD4E1J9016"",""NQZ53219.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Providencia manganoxydans],60.8,60.8,55%,6e-09,38.57,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEX6316110.1?report=genbank&log$=prottop&blast_rank=93&RID=UWD4E1J9016"",""MEX6316110.1"")"
1 member(s) 1 organism(s),E. coli,hypothetical protein [Escherichia coli],58.5,58.5,23%,8e-09,83.33,30,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHG9326106.1?report=genbank&log$=prottop&blast_rank=94&RID=UWD4E1J9016"",""HHG9326106.1"")"
2 member(s) 1 organism(s),g-proteobacteria,phage tail terminator protein [Vreelandella sulfidaeris],59.7,59.7,80%,2e-08,30.10,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_457508535.1?report=genbank&log$=prottop&blast_rank=95&RID=UWD4E1J9016"",""WP_457508535.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Klebsiella pneumoniae],55.5,55.5,38%,2e-07,44.90,51,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158609935.1?report=genbank&log$=prottop&blast_rank=96&RID=UWD4E1J9016"",""WP_158609935.1"")"
3 member(s) 1 organism(s),E. coli,hypothetical protein [Escherichia coli],47.0,84.3,31%,2e-07,95.65,40,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGC4962979.1?report=genbank&log$=prottop&blast_rank=97&RID=UWD4E1J9016"",""HGC4962979.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Klebsiella pneumoniae],48.9,83.9,37%,2e-07,83.33,48,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCP6060215.1?report=genbank&log$=prottop&blast_rank=98&RID=UWD4E1J9016"",""MCP6060215.1"")"
1 member(s) 1 organism(s),a-proteobacteria,phage tail terminator protein [Methylobacterium sp. AMS5],56.2,56.2,79%,5e-07,36.61,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_060772480.1?report=genbank&log$=prottop&blast_rank=99&RID=UWD4E1J9016"",""WP_060772480.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein YpF1991016_2825 [Yersinia pestis biovar Orientalis str. F1991016],53.9,103,37%,7e-07,96.00,52,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDR36833.1?report=genbank&log$=prottop&blast_rank=100&RID=UWD4E1J9016"",""EDR36833.1"")"



		


