Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain 50012 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177977.1?report=genbank&log$=nucltop&blast_rank=94&RID=UWDTFXDU014"",""CP177977.1"")"
"Yersinia pestis strain R plasmid unnamed1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,130936,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP084337.1?report=genbank&log$=nucltop&blast_rank=95&RID=UWDTFXDU014"",""CP084337.1"")"
"Yersinia pestis strain 70016 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177912.1?report=genbank&log$=nucltop&blast_rank=96&RID=UWDTFXDU014"",""CP177912.1"")"
"Yersinia pestis strain 41006 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100979,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177418.1?report=genbank&log$=nucltop&blast_rank=97&RID=UWDTFXDU014"",""CP177418.1"")"
"Yersinia pestis strain 45018 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,99021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177459.1?report=genbank&log$=nucltop&blast_rank=98&RID=UWDTFXDU014"",""CP177459.1"")"
"Yersinia pestis strain 177 plasmid pFra, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,98951,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151628.1?report=genbank&log$=nucltop&blast_rank=99&RID=UWDTFXDU014"",""CP151628.1"")"
"Yersinia pestis strain 98008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177864.1?report=genbank&log$=nucltop&blast_rank=100&RID=UWDTFXDU014"",""CP177864.1"")"



		


